Indo-European Lexicon
Pokorny Master PIE Etyma
The table below lists Proto-Indo-European (PIE) etyma adapted from Julius Pokorny's book, Indogermanisches etymologisches Wörterbuch (Bern: Francke, 1959, 1989). Entry head-words are listed, with their page numbers and cross-references to other entries (following Pokorny) plus our own English glosses; for more information, the reader is referred to the book. Some misprints in Pokorny have been corrected, including repairs to diacritics and missing, incorrect, or extraneous homograph numbers.

In our table, cross-references under "See also" may include IE links to our own lists of more modern Indo-European reflexes -- words derived from the ancient Proto-Indo-European etyma. IE reflex lists are under active construction (see our IE Lexicon home page): they are subject to change at any time, and might possibly exhibit errors not yet corrected. See our Language Index page for links from reflexes (listed by IE language) to their PIE etyma.

Pokorny head-word entries with page numbers, cross-references, and English glosses
Page(s)	Pokorny entry	See also	English gloss
790	pāuson-, pūson-	3. peu-	(name of a deity)
790	1 pē̆d-, pō̆d-	IE   	to hold; vat, vessel, container
790-92	2 pē̆d-, pō̆d-	IE   	foot
792	peg- : pog- : pōg-, pō̆k-s-	IE   	hip, side, shoulder
792-93	pē(i)-, pī-	IE   	to hurt, scold, shame
793-94	pei̯(ə)-, pī̆-	IE    peisk-	fat; milk
794-95	1 peig-, and peik-	IE   	colored, speckled
795	2 peig̑-, and peik̑-	IE   	to be hostile
795	pei-m(i)-	IE   	swift, quick, rapid, nimble
796	1 peis-? : pis-	IE   	to grind, trample
796	2 peis-, speis-	IE   	to blow, fizz
796	peisk-, pisk-	IE    pei̯(ə)-	fish
796-97	1 pek̑-, pēk̑-, pōk̑-	IE   	to be joyful, make pretty
797	2 pek̑-	IE    plek̑-	to fleece; fee, cattle
798	peku̯-	IE   	to cook
798-801	1 pel-, pelə-, plē-	IE    pleu-	to pour, fill; full, plenary; town?
801-2	2a pel-, pelə- : plā-	IE    3a. pel-	to drive, propel, set in motion
802	2b pel-, pel-en-, pel-t-, pel-u̯-	IE   	dust, powder; meal, flour
802-3	3a pel-	IE    4. pel-	to fold
803-4	3b pel-, pelə-, plē-	IE    letro-	to wrap, cover; cloth; fell, pelt
804	4 pel-	2a. pel-	dish, vessel
804	5 pel-	IE   	to earn, sell
804-5	6 pel-	IE   	gray, dull color; pallor
805	7 pel-, pol-, plē-, plō̆-	IE   	to burn, be warm
805-7	pelə-, plā-	IE    1. plā-k-	plane, flat, wide, broad
807	peli-s-, pel-s-	IE   	fell, rock
807	pelk̑- : polk̑-	IE   	to turn, bend
807	pelpo-, or polpo-		woodwork
807	1 pen-	IE    pā-	to feed
807-8	2 pen-, pen-ko-	IE   	mud, fen, swamp, water; wet
808	penku̯e	IE   	five, fifth
808-9	pent-	IE   	to go, walk, pad, tread; way, path
809-10	1 per-, perə- : prē-, preu-	IE    2. perk̑-	to spray, sprinkle, drizzle
810-16	2a per-	IE    prō̆-	to pass over/beyond
816-17	2b per-, perə-	IE   	to fare, ferry, transport, go/carry over
817	2c per-, perə-	IE   	to sell, impart
818	2d per-	IE   	to bear (a child)
818	2e per-	IE   	to dare, risk, try; peril, danger
818-19	3 per-, per-g-	IE    org-	to hit, kill
819	perd-	IE    pezd-	to fart, break wind (loudly)
819-20	1 perg-		pole, stem, trunk
820	2 perg-	IE   	fear; to frighten
820	1 perk-, prek-		to fill up
820	2 perk- : pr̥k-		coals, glowing ash
820	1 perk̑-		breast, rib cage
820-21	2 perk̑-, prek̑-	IE    2. (s)p(h)er-	spotted, speckled
821	3 perk̑-, pr̥k̑-	IE    pork̑o-s	to open, dig out, rip up; furrow
821-22	4 perk̑-, prek̑-, pr̥k̑-	IE   	to request, ask/pray for
822-23	perku̯u-s	IE   	oak
823	pers-		to spray, sprinkle, drizzle; dust, ashes
823	persnā, persnī̆-, persno-	IE   	heel
823	perth-		pole, stick
823-24	1 pē̆s-	IE    2. pēs-	to blow
824	2 pēs-, nasalized pēns-	1. pē̆s-	dust, sand
824	3 pes-, pesos	IE   	penis
824-25	1 pet-, pet-, petə-	IE    pando-s	to stretch out (esp. arms)
825-26	2 pet-, petə- : ptē-, ptō-, Hellenic ptā-	IE   	to fall, tumble down
827	1 peu-, peu̯ə- : pū̆-	IE   	to sift, clean, purge, purify
827	2 peu-	IE   	to repute, explore, understand
827	3 peu-	1. pū̆-	foam, froth
827	pēu- : pəu- : pū̆-	IE    3. pū̆-	to hit; sharp
828	peuk̑-, and peug̑-	IE   	to pink, stab, stick
828	peu̯ə-	2. pū̆-	to rot, stink
828	peu̯ōr, pū̆r, genitive pu-n-és, locative puu̯éni	IE   	fire
829	pezd-	IE    pīzdā-	to break wind (softly)
829	pətḗ(r), genitive pətr-és	IE    appa	father
830	pid-	IE   	to bear, give birth?
830	pik(h)o-		knot, lump
830	pi-lo-	IE   	hair, pile, pilus
830	pi-n-	1. (s)p(h)ē̆i-	piece of wood
830	pī̆p(p)-	IE   	to peep, squeak
831	pīzdā-	IE    2. bhes-	vulva
831	plab-	IE   	to babble, prattle, etc.
831-32	1 plā-k- : plə-k-, ple-k- : plō̆-k-, plei-k-, and pelə-g- : plā-g- : plə-g-	IE    2. plāk-	flat, wide, broad; spread out
832-33	2 plāk-, plāg-, also plēk-, plēg-	IE    plā̆t-	to hit, beat, fling
833-34	plā̆t-, plā̆d-, plē̆t-, plō̆t-, plət-	IE    pləi-	flat, wide, broad; spread out
834	plē-, plə-	IE    plēk̑-	to cut, split off
834	plēi-, pləi-, plī-		bald, bare, naked
834-35	plek̑-	IE    2. pek̑-	to ply, pleach, plait, weave
835	plēk̑-, plək̑-, and plēik̑-, plīk̑-	IE    phel-	to flay, peel, rip, tear off
835-37	pleu-	IE    pl(e)u-mon-	to flee, fly, run; flow, swim
837	pleuk-	IE   	floc, hair, feather
837-38	pl(e)u-mon-, pleu-ti̯o-	IE    1. pel-	lung
838	pleus-	IE   	to pluck, deplume, pull out; plucked hair/feathers
838	pləi-, pləu-	pelə-	to broaden, show off
838	plouto-, pluto-		(wooden object)
838-39	pneu-	IE   	to pant, breathe
839	pn̥ksti-	IE    pā̆k̑-	fist
839	1 pō(i)- : pəi-? : pī-	IE   	to graze, pasture
839-40	2 pō(i)- : pī-, and (from pō-), po-	IE   	to bib, drink
840-41	polo- : pōlo-	IE   	big, fat, thick, swollen
841	pork̑o-s	IE    3. perk̑-	porker, pig(let)
841-42	pos	IE    apo-	about, around; by, beside; in front of
842	po-ti		against, opposite, toward
842	poti-s	IE   	host, husband, lord, master, owner
842-43	pōu- : pəu- : pū̆-	IE   	few, small, little; young (of animals)
843	pougo-, or pougho-		pure, clear
843-44	prā-	IE   	to bend
844	prāi-, prəi-, prī-, pri-	IE   	to like, feel friendly/well-disposed
845	preg-	IE   	greedy, covetous; willful, violent
845	prep-	IE   	to catch sight of
845	pret-, prō̆t-	IE   	to understand
845-46	preu-	IE   	to hop, jump
846	preus-	IE   	to burn, freeze
846	prīs-		to granulate, reduce to small pieces
846	prō̆-	2a. per-	to pass over/beyond
846	prōk̑to- : prək̑to-	IE   	rump, backside
846	pr̥so-		leek, onion, garlic
846-47	pster-, pstereu-	IE   	to sneeze
847	ptel(e)i̯ā	IE   	(type of tree, e.g. poplar/popple)
847-48	1 pū̆-, peu-, pou-, also phu-	IE    phu-	to blow (up)
848-49	2 pū̆- : peu̯ə-	IE    peu̯ə-	to rot, stink
849	3 pū̆-	pēu-	to hit; sharp
849	1 pū̆k-, peuk-	IE   	thick-haired
849	2 puk̑-		to enclose, press together
850	pu-lo-	IE   	(stiff) hair
850	pū-ro-	IE   	grain, kernel
851	phel-	1. (s)p(h)el-	to cut, split, tear off; board
851	pher-	1. sp(h)er-	to rush, act rashly, push away, etc.
851	phō̆l-	IE   	to fall
851	phu-	2. b(e)u-	to blow (up)
852	rabh-, or rebh- : rebh-	IE    labh-	to rage, be furious
852	rāp-, rēp-	IE   	rape (plant), turnip
852	rā̆s-	IE   	to cry, (re)sound
853	1 rē-, rə-, extended rē-dh-	1. rēi-	to count, compute
853	2 rē̆-, extended rē-dh-	ardi-	separate
853	3 rē-	1. erə-	to row; oar
853	4 rē-	2. erə-	to rest, be still
853	5 rē-		dark
853	6 rē-	3. rei-	to cry
853	1 rebh-	rei̯ə-	to move, hurry about
853	2 rebh-	IE   	to roof, thatch
853	red-, rod-	ered-	to flow
853	1 rēd-	IE   	to excite, cheer up, be joyful
854	2 rēd- : rōd- : rəd-	IE   	to gnaw, scrape, scratch
854	1 reg-, and sreg-?	IE   	to dye
854	2 reg-	IE   	to see
854-57	1 reg̑-	IE    reig̑-	to regulate, make just/right; king, reign
857	2 reg̑-, rek̑-, rek-?	IE   	damp; rain
857	regu̯os-	IE    ē̆reb(h)-	darkness
857-59	1 rei-	IE    reig-	to cut, reap, rive, tear, scratch
859	2 rei-, roi-	IE   	spotted, speckled, brightly variegated
859-60	3 rei-, rē(i)-	IE    reibh-	to cry, scream, bellow, etc.
860	4 rei- : rēi-	IE   	thing, possession
860	5 rei-	reid-	to support
860	1 rēi- : rī-	2. ar-	to count, arrange
860	2 rēi-, rōi-	3. ar-	nut
860	reibh-	1. reu-	(onomatopoeic: to resound?)
860	reid-	reik-	to support, lean against
861	reidh-	IE   	to ride, go (in vehicle)
861-62	reig-, or reig̑-	IE    roi-no-	to rig, tie, bind
862	reig̑-, rēig̑-	IE    1. reg̑-	to reach, stretch out
862	rei̯ə-, rī-	2. reu-	to flow, move
862	reik-	1. rek-	to stretch oneself; pole
862	rei-r(ēi)-	IE   	(onomatopoeic: to quake, tremble)
863	rēito-, rēiti-		joint, shoulder (of animals)
863	1 rek-	IE    rem-	to project, tower up; pole
863	2 rē̆k-	IE   	to reck, reckon, arrange, prepare
863	rek̑-, reg̑-		to bind
864	rek̑þh-	ŕ̥k̑þo-s	to harm, injure
864	rem-, remə-	IE    5. rei-	to rest; to support
864-65	remb-, romb-, romb-		to hack, hoe
865	rendh-	IE   	to rend, rip, tear to pieces
865	rent-		thing?
865	rep-	IE   	to grab, rip out, ravish
865	1 rēp-, rep-?	IE   	to creep, crawl
866	2 rēp-, rəp-	IE   	pole, stake, beam, rafter
866	rēs-, rōs-	2. ere-s-	to flow
866	ret(h)-	IE   	to run, roll, rotate
866	rēt-, rōt-, rət-	IE   	pole, rood; stem, stick, trunk
867-68	1 reu-, rēu-, rū̆-	IE    6. rē-	(onomatopoeic: to roar, rout, round, etc.)
868-71	2 reu-, reu̯ə- : rū̆-	IE    3. reu-	to open, tear out, dig/rip up, etc.
871	3 reu-, reu-s-	3. er-	to hasten
871	4 reu-	1. ereu-	to search
871-72	reu-b-, and reu-g-	IE   	to belch, eruct, retch, vomit
872-73	reudh-	IE   	red
873	reugh-m(e)n-	IE   	ream, cream?
873	reus-		elm (tree)
873	reu-smen-	IE   	to chew, ruminate; throat, rumen
873-74	reuto-, routo-, rut-		stomach, intestines (of an animal)
874	reu̯ə- : rū-	IE   	to ream, open; wide, roomy
874	rezg-	IE   	to plait, weave, wind
874	roi-no-	1. rei-	hill, road
874	rughi̯o-	u̯rughi̯o-	rye
874	ruk(k)-, rouk(k)-	IE   	yarn; fabric
875	r̥ksā	2. lek-	fetlock; tether
875	ŕ̥k̑þo-s	IE    rek̑þh-	bear (animal)
876	sā-, sə-	IE    sāno-s	enough, satiate, sufficient
876-77	sāg-	IE   	to seek, track, trail
877	sāi-	IE   	pain, illness; sore
878	saip-	IE   	fence, stall, enclosure
878	sak-	IE   	to sacrifice, sanctify, make a treaty
878-79	1 sal-	IE    2. sal-	sal, salt; brackish water
879	2 sal-	IE    1. sal-	gray, dirty, sallow
879-80	sā̆lo-		wavy
880	sāno-s	IE    sā-ti-	sane, healthy?
880	sap-, sab-	IE   	to taste, savvy, perceive
880	sasi̯o-		(type of grain)
880	sā-ti-	sā-	satiated
880-81	saus-, sus-	IE   	sere, dry
881-82	sā́u̯el-, sāu̯ol-, suu̯él-, su̯el-, sūl-	IE    2. su̯el-	Sol, sun
882-84	se-	IE    seni-	self, one's own
884-87	sed-	IE    ē̆s-	to sit, set, settle
887	1 seg-	1. sē(i)-	to sow (seed)
887-88	2 seg-, nasalized seng-	IE   	to attach, tack on
888-89	seg̑h-, seg̑hi-, seg̑hu-	IE   	to possess, hold fast, persevere, overcome; victory
889	sei-, soi-	IE    seiku̯-	to drip, be damp
889	1 sē(i)-	IE    2. sē(i)-	to sift
889-91	2 sē(i)- : səi- : sī-, sē- : sə-, and sei- : si-	IE    3. sēk-	to sow, dispatch, disseminate, let fall
891-92	3 sē(i)-, səi- : sī-, and sei- : si-	IE    si̯ē[u]-ro-	to bind, strap, tie
892	sē[i]dh- : sī̆dh-, and sədh-		to aim at, strive for
893	sē̆ik-, sī̆k-	IE   	to grip, reach for
893-94	seiku̯-	IE    seip-	to spill, pour out
894	seip-, seib-	IE    sei-	to sift, pour out
894-95	1 sek-		to run off, dry out (re: water)
895-96	2 sē̆k-	IE    (s)k(h)ed-	to cut, section, dissect
896	3 sēk-	IE    1. seg-	to abate; lazy, quiet
896-97	1 seku̯-	IE    2. seku̯-	to segue, follow
897-98	2 seku̯-	IE    1. seku̯-	to see, notice; show, say, speak
898	1 sel-	IE   	salon, dwelling place
898-99	2 sel-, su̯el-	IE    4. su̯el-	sill, beam, board
899	3 sel-	IE   	to grab, seize, take
899	4 sel-	IE   	to jump, leap, spring, exult
900	5 sel-		to creep, crawl
900	6 sel-, selə- : slā-	IE    solo-	lucky, favorable; luck
900-1	selg̑-	IE   	to pour out, set free, send/throw away
901	selk-	IE    8. u̯el-	to pull, drag; sulcus, furrow
901	selos-	IE   	sea, lake, swamp
901	selp-	IE   	salve, fat, butter
901-2	1 sem-		to draw, pour, scoop
902-5	2 sem-	IE   	one, some, together
905	3 sem-	IE   	summer
905-6	sēmi-	IE   	half, semi-
906	sen-, sene-, sen(e)u-, senə-	IE    sneubh-	to prepare, work on
906	sendhro-	IE   	clotted, coagulated; fluid, melted, etc.
906	sengu̯-	IE   	to sink, sag, fall
906-7	sengu̯h-	IE    k̑ens-	to sing
907	seni-, senu-, seni-, sn̥-ter-	IE    su-	for oneself; sundry, separate
907	senk-	IE   	to singe, burn, dry
907-8	sen(o)-	IE   	old, senile, senior
908	sent-	IE   	to send, go, choose direction; to sense
909	sep-	IE   	to honor, care for, concern oneself with
909	septm̥	IE   	seven
909-10	1 ser-	IE    sr-edh-	to flow, stream
910	2 ser-	IE   	to serve, guard, protect, shelter
910-11	3 ser-, sor-	IE   	red
911	4 ser-	IE   	to insert, line up, put/bind together
911-12	5 ser-, extended serp-	IE   	sickle
912	serk-	IE   	to fence; hedge, plaited work
912	serp-	IE   	to creep, crawl
912-13	1 seu-, seu̯ə- : sū-	IE    sū-ro-	sop, soup, juice, liquid
913-14	2 seu-, seu̯ə-, sū̆-	IE    sū̆-s	to bear (a child); son
914	3 seu- : su-, seu̯ə- : sū-	seu̯i̯o-	to bend, turn
914-15	4 seu-, seu-t-	IE   	to seethe, boil
915	seug-	IE   	sad, sick, grievous, afflicted
915	seu̯ə-, sū-		to leave behind?
915	seu̯i̯o-	su̯ē̆(i)-	(to the) left
915	si̯ē[u]-ro- : si̯ə-ur(i̯o)-	si̯ū-	brother-in-law
915-16	si̯ū-, sīu̯-	IE    soi-to-	to sew
916	skabh-, skambh-	IE   	to support
916-17	(s)kāi-	IE    sk̑āi-	bright, shining
917	(s)k(h)ai-, (s)k(h)ai-d-, (s)k(h)ai-t-	IE   	to cuff, kick
917-18	sk̑āi-, sk̑əi- : sk̑ī-	IE    4. kāi-d-	to shine/shimmer dully; shadow
918	(s)kamb-, and (s)kemb-	IE    kamb-	to bend, curve, hump
918	(s)kand-, (s)kend-	kand-	to glow; bright
918-19	(s)k(h)ed-, (s)k(h)e-n-d-	IE    skē̆i-	to crush, shatter, split to pieces
919	sk̑ed-		to cover
919-22	skē̆i-	IE    1. (s)kel-	to cut, skive, exscind, separate
922	skē̆i-bh-, nasalized ski-m-bh-		to limp; slanting
922-23	(s)kek-, skeg-	IE   	to jump, spring, move quickly; shake
923-27	1 (s)kel-	IE    (s)ken-(d-)	to cut, halve
927	2 (s)kel-	IE    9. kel-	to owe, be guilty
927	3 (s)kel-	IE    10. kel-	to parch, dessicate, dry out
928	4 (s)kel-, extended klā-, klō-	IE    11. kel-	to bend; crooked
928	5 (s)ku̯el-, (s)kel-	2. gal-	to call, resound
929	(s)k̑el-		to jump, spring
929	skhel-		to stumble
929	(s)k̑em-	IE    2. k̑em-	deformed, disabled, mutilated; hornless
929-30	(s)ken-(d-)	IE    6. skēu(-t)-	to skin, flay, split off
930	skendh-	IE   	to dive, plunge
930	(s)keng-	IE   	to hobble; lame, slanted
930	1 (s)kep-		to hide, cover
930-33	2 (s)kē̆p-, (s)kō̆p-, and (s)kā̆p-, (s)kē̆b(h)-, skob(h)-, and skā̆b(h)-	IE   	to cut, shave, split with sharp tool
933	1 (s)ker-		to shrink, dry out, wrinkle up; dry, thin
933-35	2 (s)ker-, skerə- : skrē-	IE    7. ker-	to jump
935-38	3 (s)ker-	IE   	to bend, curve, turn
938-47	4 (s)ker-, (s)kerə-, (s)krē-	IE    (s)ker-dh-	to cut, shear, score, scribe
947	5 (s)ker-	1. ker-	(onomatopoeic: hoarse sound)
947	(s)ku̯er-	1. ku̯er-	to do, make
947-48	sk̑er-(d-)	IE   	to defecate; dung, excrement
948-49	(s)kerb(h)-, (s)kreb(h)-, nasalized (s)kremb-	IE   	to curve, turn
949	(s)ker-dh-, (s)kor-dh-	(s)kert-s-	small, pitiful, miserable
949-50	(s)kert-s-	2. ker-	across, straight along
950	skēt- : skət-	IE   	to jump, spring
950	skēth-, skəth-	IE   	to scold, scathe, injure, damage
950-51	1 (s)keu-		to perform, carry out
951-53	2 (s)keu-, (s)keu̯ə : (s)kū-	IE   	to hide, wrap, cover
953	3 skē̆u-, ksē̆u-		to sneeze
954	4 (s)keu-	1. keu-	to notice, observe, pay attention to
954	5 skē̆u-	sk̑ē̆u-	to push, shoot, throw
954	6 skēu(-t)-	IE    1. kal-	to cut, scratch, separate
954-55	sk̑ē̆u-	IE    skeub-	to push, shoot, throw
955	skeub-, skeubh-, skeug-	IE    2. (s)keud-	to shove, move, shoot, throw
955	1 skeud-	keuəd-	to grumble, protest; unwilling
955-56	2 (s)keud-	IE    5. skē̆u-	to shoot, throw
956	(s)keup-, skeub(h)-	IE   	sheaf, bunch, flock, etc.
956-57	(s)keut-, (s)keudh-		to shrink, shrivel up
957	sk̑lēk-, sk̑lək-	sresk-	to spray, sprinkle; wet
957	skordho-		pan, vessel; potsherd
957	skot-	IE   	shade, shadow, darkness
957-58	(s)kū̆t-	IE    ku̯ēt-	to shake, shudder
958	(s)ku̯alo-s	IE    ku̯alo-s	(type of large fish, e.g. whale)
958	sku̯erb(h)-		to pierce, stick (of thorns)
958	sk(h)u̯oi̯-, sk(h)u̯i(i̯)-		thorn, needle
958	(s)lā̆gu̯-	IE    lā̆gh-	to grab, latch, seize
959	slak-	IE   	to hit, hammer
959	(s)leb-, (s)lob-, (s)lep-, (s)lop-	lē̆b-	lip; to hang down slackly
959-60	(s)lēg- : (s)ləg-, and (s)leg-	IE   	weak, feeble, languid
960	slēgu̯-		to oppress, maltreat, mishandle
960	(s)leib-	sleub(h)-	to slip; slimy
960-61	(s)leidh-	IE    3. lei-	to slide; slippery
961	(s)leig-		to hack, hit
961-62	slenk-, sleng-	IE   	to turn, wind; creep, slink
962	sler-	(s)lr̥g-	chasm
962-63	(s)leu-	IE   	slack, feeble, loosely hanging
963-64	sleub(h)-	IE    (s)leug̑-	to slide, slip
964	(s)leug-, (s)leuk-	IE    lauk(o)-	to swallow
964	(s)leug̑-, (s)leuk̑-	IE    (s)leib-	to slide, slip
964-65	(s)leup-, (s)leub(h)-	IE   	to hang slackly
965	(s)lī- : sləi-, or slōi-, slī-u̯o-	IE   	livid, bluish
965	slougo-, slougā- (fem.)	IE   	help, service
965-66	(s)lr̥g-, and sler-	sler-	(onomatopoeic: to swallow)
966	sme, smā̆	IE   	really, truly (emphatic particle)
966-67	smē-, smeī-, sm-ei-	IE    3. smēi-	to rub, smear
967	smeg(h)-	IE   	to smack, taste
967-68	1 (s)mei-, smeu-	IE    smeu-	to smile
968	2 smēi- : sməi- : smī̆-	IE   	to carve, work with sharp tool
968	3 smēi-, smeid-, smēig-, smēik-	smē-	to rub, smear
968	smeit-, smit-	IE   	to throw
968	smek-		beard, chin
969	1 smel-	IE   	to smolder, burn slowly
969	2 smel-	IE    6. mel-	gray
969-70	(s)mer-	IE   	to mourn, remember, think of, care for
970	smerd-, smord-	IE    4. mer-	to stink
970-71	smeru-	IE   	fat, grease, smear
971	smeu-	1. (s)mei-	to laugh, smile
971	(s)meukh-, (s)meug-, (s)meugh-	IE   	to smoke; smoke
971	smog-		heavy, burdensome
971-72	snā-, snə-(t-), snāu-, sn-eu-, sn-et-	IE    sneu-	to flow, swim; damp
972-73	(s)nadh-		to cut, slice
973	(s)nē-, and (s)nēi-	IE    snēp-	to spin, twist threads together
973-74	(s)nēbh-ri-, (s)nōbh-ri-		thin, narrow
974	sneig-	IE   	to crawl, snake
974	sneigu̯h-	IE   	to snow; snow
974	sneit-	IE   	to cut
974-75	snēp-, snōp-, snəp-	2. (s)ner-	to gather in sheaves/bundles; twist into rope
975	1 (s)ner-, (s)nur-	IE   	to snarl, growl
975-77	2 (s)ner-	IE    snēu-	to turn, wind, etc.
977	(s)nerb-	IE   	to cut?
977	sneu-	2. enebh-	to flow, swim; damp
977	snēu- : snū-, and snĕu-	IE    1. ned-	to turn, bind, attach; band, sinew
977-78	sneubh-	IE    snusós	to woo, marry
978	1 sneud(h)-	IE    2. sneudh-	to drowse, slumber; drowsy, sleepy
978	2 sneudh-	IE    1. sneud(h)-	fog, mist
978	snusós	IE    sen-	daughter-in-law
978-79	so(s), sā	IE    1. to-	(nom. sg. demonstrative stem: he, she)
979	soi-to-	3. sē(i)-	magic
979-80	solo-, sol(e)u̯o-	IE    6. sel-	whole, well-kept, salubrious
980	sō[u]rā : sōrā		calf (of leg)
980	spako-		point; small drop
980	sp(h)ē-, sp(h)ə-(dh-)	IE    2. sp(h)ei	long flat piece of wood
981	speg̑-, or spō̆g̑-	IE    spek̑-	to watch sharply, be attentive
981-82	1 (s)p(h)ē̆i- : (s)p(h)ī̆-	IE    pi-n-	sharp/pointed stick: spile, spit, etc.
982	2 sp(h)ei : sp(h)ī̆, and sp(h)ē : sp(h)ə-	IE    3. sp(h)ē(i)-	to pull, drag
983-84	3 sp(h)ē(i)-, spī-, and sphē- : sphə-	IE    1. (s)pen(-d)-	to fatten, prosper, succeed, etc.
984	spek̑-	IE    speg̑-	to watch, inspect, spy on
985	(s)pel-	IE   	to speak aloud, tell with emphasis
985-87	1 (s)p(h)el-	IE    (s)p(h)elg-	to cut, split, spall, tear off; board
987	2 (s)p(h)el-	IE   	to shine, glitter
987	(s)p(h)elg-	(s)plei-	to split, splinter
987	sp(h)elg̑h(en), spleng̑h-, splē̆g̑h-	IE   	milt; spleen
988	1 (s)pen(-d)-	IE    (s)p(h)eu-d-	to pull, spin
989	2 *(s)pen-, (s)pon-, (s)pondho-		wooden pail
989	spend-	IE   	to offer a libation
989	sp(h)e(n)d-		to shake, quiver
989-90	sp(h)eng-	IE   	to shine, glitter
990	speno-, stē̆no-, p(ə)stē̆no-		teat, breast, nipple
990-91	1 (s)per-	IE   	pole, spar, rafter
991	2 sper(-g)-	IE   	(type of bird, esp. sparrow)
991-92	3 sper-	IE   	to turn, wind
992	4 (s)p(h)er-, (s)p(h)erəg-		to rip, tear; rag, snippet
992-93	1 sp(h)er-, sp(h)erə-	IE    sp(h)erd(h)-	to rush, push away, act rashly, etc.
993-95	2 (s)p(h)er-, sprei-, spreu-	IE    sprei-	to sow, strew, spread, scatter, sprinkle
995	3 sp(h)er-		balls of goat/sheep excrement
995-96	sp(h)erd(h)-, (s)p(h)red(h)-, nasalized sp(h)rend(h)-	IE    *(s)p(h)ereg-	to rush, sprint, spring; running
996-98	*(s)p(h)ereg-, (s)p(h)erəg-, (s)p(h)rēg-, nasalized spreng-	IE    sperg̑h-	to rush, hurry; strew, sprinkle, disperse
998	sperg̑h-, spreg̑h-, nasalized spreng̑h-	IE    pher-	to rush, hurry, spring, jump
998-99	(s)p(h)eu-d-	pā̆n-	to press, hurry
999	(s)pī̆ko-	IE   	woodpecker (or other large bird)
999	(s)pingo-	IE   	finch, sparrow
999-1000	(s)p(h)i̯ēu- : (s)pi̯ū-, (s)pīu̯-	IE   	to spit, spew, sputter
1000	(s)plei-	IE    plē-	to cut, split
1000	(s)pleig̑h-		to splay (legs)
1001	(s)poimno-	IE   	foam, spume, spray
1001	sprei-, spreu-	sp(h)reig-	to sow, strew, scatter
1001	sp(h)reig-	1. per-	to teem, abound, overflow
1001	sraku̯-to-		sharp-edged
1001	srebh-, sr̥bh-, and serbh-	IE    su̯erbh-	to sip, slurp, swallow
1001-2	sr-edh-, sr-et-	IE    sreu-	to boil, spout, whirl
1002	(s)reigh-		to creep, climb, clamber
1002	srenk-	IE   	to snore
1002	srēno-		body part (e.g. hip, loins)
1002	sresk-	klep-	to drip, drizzle
1003	sreu-	IE    1. ser-	to stream, flow
1004	sreup-		dirty, scabby
1004	srīg-, srīgos-	IE   	cold, frost
1004	srō̆mo-		lame
1004-10	stā- : stə-	IE    stāk-	to stand
1010	stag-	IE   	to drip, drizzle, trickle
1010	(s)tāi-	IE    stāi-	to steal, do secretly
1010-11	stāi-, stī̆-, sti̯-ā-	IE    stē̆ib(h)-	to condense, press together; stiff; stone
1011	stāk-, stek-	IE    steb(h)-	to place, stand
1011-13	steb(h)-, and stēb(h)- : stəbh-, nasalized stemb(h)-, step-, also stēp-?, nasalized stemp-, nominal stəbho-s, stemb(h)ro-s, stomb(h)o-s	IE    stā-	stump, post, pillar; to support, etc.
1013-14	1 (s)teg-	IE    tāg-	to deck, thatch, cover; house, roof
1014	2 (s)teg-	IE    stegh-	stake, pole, beam
1014-15	stegh-, nasalized stengh-	IE    2. (s)teg-	stick, stalk, stang, etc.
1015	(s)tei-	IE    tei-	sharp, pointed; spike, style, stylus
1015-16	stē̆ib(h)-, stī̆b(h)-, stē̆ip-, stī̆p-	IE    steu̯ə-	stick, pole, stake; stiff
1016-17	(s)teig-	IE    teig-	to stick, prick; sharp
1017-18	steigh-	IE   	to climb, ascend; stride, march
1018	(s)teigu̯-	IE    teigu̯-	arm, shoulder; thigh, hip
1018	(s)teigu̯h-		to endure, wait patiently
1018	1 (s)tel-	4. tel-	to urinate, let flow
1018-19	2 stel-, stelə-	IE    3. stel-	to dilate, broaden, stretch out; broad
1019-20	3 stel-	IE    2. stel-	to put, place
1021	stem-		to push, thrust; stumble, stutter
1021	1 (s)ten-	IE    2. ten-	to drone, groan, thunder, etc.
1021-22	2 sten-	IE   	to narrow, hem in
1022-27	1 (s)ter-, (s)terə- : (s)trē-	IE    6. ster-	stark, stiff, solid, rigid, etc.
1027-28	2 stē̆r-	IE   	star
1028	3 ster-	IE   	to rob, steal
1028-29	4 ster-, also sterə- : strē-, strei-, streu-	IE   	line, streak, strip, stripe
1029-31	5 ster-, sterə- : strē-, steru- : streu-	IE   	to strew, scatter, spread out
1031	6 ster-	IE    7. (s)ter-n-	barren, sterile, unfruitful
1031	7 (s)ter-n-	IE    2. streig-	thorn, prickly stalk
1031-32	8 (s)ter-	IE   	dung, stercory, dirty water; to rot, befoul
1032	sterg-, sterk-	IE   	to care for, pay careful attention to
1032-34	1 (s)teu-	IE    1. teu-	to hit, push, thrust
1035	2 steu-	IE   	to praise (aloud)
1035	steu̯ə-	(s)tāi-	to coagulate, become dense/thick
1035	stilp-, stilb-	IE   	to shine; to look, show
1035	stomen-	IE   	mouth, stoma
1036	storos, stornos, str̥nos?	IE   	starling, songbird
1036	1 streig-	IE   	to halt, pause, falter, be(come) stuck
